날짜,총지수[2019.01=100],단독주택[2019.01=100],연립주택[2019.01=100],아파트[2019.01=100],아파트(서울)[2019.01=100],총지수(서울)[2019.01=100]
2000-01-01,48.819,72.153,56.103,39.474,31.66,39.451
2000-02-01,49.027,72.236,56.231,39.783,32.136,39.782
2000-03-01,49.234,72.319,56.615,40.015,32.433,40.114
2000-04-01,49.286,72.236,56.679,40.092,32.433,40.238
2000-05-01,49.234,72.153,56.615,40.015,32.403,40.238
2000-06-01,49.079,71.904,56.487,39.938,32.403,40.238
2000-07-01,49.079,71.821,56.423,39.976,32.701,40.404
2000-08-01,49.183,71.821,56.615,40.054,32.879,40.57
2000-09-01,49.286,71.738,56.807,40.247,33.087,40.818
2000-10-01,49.338,71.738,56.935,40.324,33.265,40.942
2000-11-01,49.183,71.488,56.679,40.17,32.998,40.777
2000-12-01,48.871,71.156,56.423,39.822,32.611,40.487
2001-01-01,48.819,70.906,56.231,39.861,32.641,40.445
2001-02-01,48.975,70.823,56.551,40.092,33.028,40.694
2001-03-01,49.286,70.989,56.871,40.44,33.325,40.942
2001-04-01,49.598,71.156,57.127,40.826,33.682,41.233
2001-05-01,49.961,71.405,57.51,41.251,34.187,41.688
2001-06-01,50.376,71.488,57.766,41.792,34.93,42.227
2001-07-01,50.998,71.738,58.214,42.564,35.911,42.932
2001-08-01,51.984,72.486,59.11,43.684,37.279,44.05
2001-09-01,52.814,73.068,60.325,44.573,37.933,44.879
2001-10-01,53.074,73.151,60.517,44.843,37.992,44.962
2001-11-01,53.281,73.317,60.773,45.075,38.081,45.086
2001-12-01,53.696,73.483,60.901,45.616,38.914,45.708
2002-01-01,55.097,73.982,61.605,47.47,41.441,47.407
2002-02-01,56.498,74.813,63.076,49.13,43.254,48.982
2002-03-01,57.795,75.561,64.163,50.637,44.77,50.308
2002-04-01,58.365,76.393,64.995,51.1,45.186,50.929
2002-05-01,58.729,76.891,65.443,51.332,45.424,51.385
2002-06-01,58.988,77.224,65.507,51.641,45.781,51.675
2002-07-01,59.559,77.556,65.763,52.375,46.97,52.711
2002-08-01,60.596,78.055,66.594,53.611,48.754,54.079
2002-09-01,62.049,78.886,67.426,55.465,51.132,55.861
2002-10-01,62.36,79.302,67.426,55.774,51.162,56.068
2002-11-01,62.412,79.385,67.618,55.774,50.864,55.944
2002-12-01,62.516,79.219,67.426,56.006,50.894,55.985
2003-01-01,62.464,79.302,67.426,55.928,50.062,55.571
2003-02-01,62.775,79.551,67.682,56.315,50.21,55.778
2003-03-01,63.242,80.05,68.258,56.739,50.508,56.151
2003-04-01,63.813,80.3,68.961,57.396,51.459,56.897
2003-05-01,64.85,80.715,69.409,58.709,52.767,57.808
2003-06-01,65.317,80.798,69.857,59.405,53.242,58.181
2003-07-01,65.463,80.795,70.052,59.633,53.581,58.494
2003-08-01,65.678,80.822,70.13,59.998,54.22,58.894
2003-09-01,66.232,81.045,70.487,60.814,55.566,59.775
2003-10-01,66.893,81.048,70.489,61.845,56.951,60.672
2003-11-01,66.655,80.615,69.824,61.763,56.531,60.282
2003-12-01,66.103,79.817,68.964,61.363,56.076,59.863
2004-01-01,65.833,79.208,68.534,61.24,55.91,59.738
2004-02-01,65.967,79.26,68.47,61.456,56.289,60.034
2004-03-01,66.101,79.19,68.497,61.698,56.603,60.339
2004-04-01,66.211,79.082,68.343,61.942,57.019,60.578
2004-05-01,66.201,78.951,68.18,62.011,57.11,60.624
2004-06-01,66.031,78.631,67.748,61.949,56.979,60.476
2004-07-01,65.855,78.402,67.331,61.837,56.764,60.289
2004-08-01,65.593,78.043,66.895,61.647,56.422,59.977
2004-09-01,65.455,77.861,66.573,61.556,56.239,59.776
2004-10-01,65.296,77.606,66.181,61.474,56.011,59.534
2004-11-01,65.008,77.251,65.704,61.236,55.722,59.282
2004-12-01,64.737,76.979,65.192,61.007,55.505,59.023
2005-01-01,64.559,76.789,64.922,60.843,55.335,58.854
2005-02-01,64.765,76.732,64.941,61.173,55.914,59.214
2005-03-01,65.013,76.788,64.973,61.527,56.196,59.418
2005-04-01,65.387,76.987,65.078,62.012,56.851,59.833
2005-05-01,65.742,77.13,65.079,62.505,57.404,60.205
2005-06-01,66.278,77.29,65.18,63.261,58.669,61.04
2005-07-01,66.827,77.57,65.472,63.954,59.803,61.877
2005-08-01,67.07,77.728,65.629,64.244,60.07,62.14
2005-09-01,67.231,77.923,65.801,64.387,60.174,62.381
2005-10-01,67.21,77.831,65.808,64.385,60.068,62.38
2005-11-01,67.206,77.74,65.806,64.417,60.214,62.496
2005-12-01,67.336,77.82,65.873,64.578,60.544,62.755
2006-01-01,67.559,77.884,66.004,64.872,61.107,63.147
2006-02-01,67.865,77.957,66.205,65.276,61.791,63.637
2006-03-01,68.3,78.176,66.555,65.808,62.882,64.399
2006-04-01,68.904,78.563,67.06,66.508,64.303,65.397
2006-05-01,69.608,79.037,67.582,67.335,65.592,66.355
2006-06-01,69.94,79.233,68.069,67.682,66.01,66.821
