날짜,총지수[2019.01=100],단독주택[2019.01=100],연립주택[2019.01=100],아파트[2019.01=100],아파트(서울)[2019.01=100],총지수(서울)[2019.01=100]
2000-01-01,43.519,66.976,48.492,35.801,33.305,39.393
2000-02-01,44.78,67.873,50.069,37.108,34.753,40.874
2000-03-01,45.788,69.069,51.597,37.916,35.669,42.042
2000-04-01,46.376,69.742,52.457,38.476,36.172,42.744
2000-05-01,46.418,69.742,52.457,38.507,36.29,42.822
2000-06-01,46.334,69.667,52.41,38.414,36.201,42.783
2000-07-01,46.418,69.742,52.314,38.569,36.408,43.017
2000-08-01,47.09,70.564,53.365,39.098,37.029,43.913
2000-09-01,47.972,71.611,54.368,39.907,37.915,44.848
2000-10-01,48.476,72.284,54.894,40.373,38.329,45.393
2000-11-01,48.308,72.209,54.894,40.125,37.679,44.965
2000-12-01,47.762,71.985,54.177,39.534,36.763,44.147
2001-01-01,47.804,71.686,54.034,39.689,37.088,44.341
2001-02-01,48.938,72.882,55.563,40.747,38.299,45.861
2001-03-01,50.114,74.377,57.044,41.773,39.245,47.069
2001-04-01,50.745,74.975,57.617,42.426,40.132,47.77
2001-05-01,51.249,75.498,58.334,42.893,40.811,48.355
2001-06-01,51.711,76.171,58.668,43.328,41.284,48.9
2001-07-01,52.509,76.843,59.385,44.199,42.319,49.718
2001-08-01,53.811,78.264,60.818,45.412,43.826,51.121
2001-09-01,55.029,79.46,62.06,46.657,45.303,52.485
2001-10-01,55.449,79.609,62.49,47.185,45.481,52.641
2001-11-01,55.449,79.684,62.395,47.185,45.333,52.446
2001-12-01,55.617,79.833,62.156,47.434,45.362,52.407
2002-01-01,56.794,80.656,62.825,48.834,46.84,53.498
2002-02-01,58.39,82.001,64.353,50.545,48.79,55.368
2002-03-01,59.692,83.347,65.5,51.851,50.445,57.005
2002-04-01,60.448,84.617,66.073,52.535,51.391,58.057
2002-05-01,60.658,85.215,66.408,52.566,51.362,58.446
2002-06-01,60.658,85.44,66.36,52.535,51.332,58.524
2002-07-01,60.868,85.29,66.503,52.846,51.923,59.031
2002-08-01,61.498,85.739,67.507,53.5,52.928,59.966
2002-09-01,62.254,87.009,68.175,54.122,53.341,60.551
2002-10-01,62.17,87.159,67.841,54.028,52.573,59.966
2002-11-01,61.582,86.561,67.268,53.375,51.184,58.719
2002-12-01,61.246,86.187,66.312,53.22,50.534,58.057
2003-01-01,61.204,85.739,65.691,53.406,50.357,57.706
2003-02-01,61.666,86.112,66.312,53.904,50.77,58.096
2003-03-01,62.128,86.561,66.79,54.308,51.214,58.524
2003-04-01,62.17,86.636,67.077,54.308,51.125,58.446
2003-05-01,62.044,86.636,66.933,54.153,50.711,58.252
2003-06-01,61.666,86.262,67.172,53.624,49.973,57.862
2003-07-01,61.336,85.759,66.82,53.356,49.507,57.386
2003-08-01,61.258,85.555,66.805,53.319,49.427,57.155
2003-09-01,61.468,85.633,66.918,53.628,49.712,57.362
2003-10-01,61.508,85.425,66.76,53.776,49.764,57.192
